yellow50,yellow50_cmyk,1.92,1.46,13.59,0.00
yellow100,yellow100_cmyk,0.00,1.90,30.60,0.00
yellow200,yellow200_cmyk,4.30,2.20,59.00,0.00
yellow300,yellow300_cmyk,3.15,8.27,78.98,0.00
yellow400,yellow400_cmyk,3.60,19.10,90.52,0.05
yellow500,yellow500_cmyk,8.29,30.29,94.40,0.94
yellow600,yellow600_cmyk,17.37,45.74,98.28,7.90
yellow700,yellow700_cmyk,26.68,58.06,97.36,23.08
yellow800,yellow800_cmyk,31.89,63.83,95.32,36.68
yellow900,yellow900_cmyk,35.41,67.51,90.94,47.22
yellow950,yellow950_cmyk,45.25,73.58,83.01,71.73
