orange50,orange50_cmyk,1.50,2.30,9.20,0.00
orange100,orange100_cmyk,0.00,9.20,21.10,0.00
orange200,orange200_cmyk,1.70,18.10,38.10,0.00
orange300,orange300_cmyk,0.90,32.30,60.50,0.00
orange400,orange400_cmyk,0.80,46.50,83.30,0.00
orange500,orange500_cmyk,0.50,60.50,93.70,0.00
orange600,orange600_cmyk,2.49,74.83,96.08,0.13
orange700,orange700_cmyk,14.91,81.65,97.27,9.46
orange800,orange800_cmyk,22.10,84.10,94.60,27.30
orange900,orange900_cmyk,16.30,83.10,89.80,45.70
orange950,orange950_cmyk,26.40,84.20,77.90,72.10

amber50,amber50_cmyk,1.50,2.10,9.50,0.00
lime500,lime500_cmyk,51.90,0.00,94.70,0.00
lime600,lime600_cmyk,63.20,10.30,99.90,3.50
lime900,lime900_cmyk,69.60,33.40,95.50,50.20
lime950,lime950_cmyk,71.81,43.57,86.91,73.81
green800,green800_cmyk,83.10,27.00,88.40,33.70
green900,green900_cmyk,83.30,31.80,85.90,47.80
green950,green950_cmyk,82.83,41.52,81.09,74.09
yellow300,yellow300_cmyk,3.15,8.27,78.98,0

amber120,amber120_cmyk,3.23,3.79,49.27,0.00
amber150,amber150_cmyk,3.90,2.30,65.20,0.00
amber250,amber250_cmyk,4.05,10.99,67.33,0.08
lime550,lime550_cmyk,60.90,7.31,99.90,1.52
orange120,orange120_cmyk,1.30,9.20,21.90,0.00
orange150,orange150_cmyk,0.90,13.70,31.50,0.00
orange180,orange180_cmyk,0.59,14.54,29.42,0.00
orange220,orange220_cmyk,1.10,22.50,50.00,0.10
orange320,orange320_cmyk,1.10,37.90,59.20,0.00
orange330,orange330_cmyk,0.79,40.69,62.56,0.00
orange350,orange350_cmyk,1.10,40.50,71.00,0.00
orange480,orange480_cmyk,0.60,56.00,82.10,0.00
orange650,orange650_cmyk,11.55,80.83,97.73,4.63
orange750,orange750_cmyk,18.18,82.75,97.26,14.80
orange920,orange920_cmyk,36.33,83.42,86.92,59.92
red250,red250_cmyk,0.00,32.70,20.60,0.00
slovenia_green,slovenia_green_cmyk,47.76,3.27,98.97,0.20
yellow380,yellow380_cmyk,3.90,14.37,80.53,0.07
